	rank	player	pts_per_g	trb_per_g	ast_per_g	stl_per_g	blk_per_g	fg_pct	ws	ws_per_48
106	12	Hakeem Olajuwon	20.6	11.9	1.4	1.2	2.7	0.538	10.2	0.168
107	14	Michael Ray Richardson	20.1	5.6	8.2	3	0.3	0.469	8.7	0.134
108	15	Andrew Toney	17.8	2.5	5.2	0.9	0.3	0.492	5.5	0.118
109	16	Mark Eaton	9.7	11.3	1.5	0.4	5.6	0.449	5.4	0.093
110	17	Paul Pressey	16.1	5.4	6.8	1.6	0.7	0.517	9.6	0.16
111	17	Jack Sikma	18.5	10.6	4.2	1.2	1.3	0.489	8.3	0.166
112	17	Dominique Wilkins	27.4	6.9	2.5	1.7	0.7	0.451	7.6	0.121
113	20	World B. Free	22.5	3	4.5	1.1	0.2	0.459	6	0.127
114	20	Purvis Short	28	5.1	3	1.5	0.3	0.46	6.2	0.097
115	22	Clyde Drexler	17.2	6	5.5	2.2	0.9	0.494	7.5	0.141
116	22	Julius Erving	20	5.3	3	1.7	1.4	0.494	7.6	0.144
117	1	Larry Bird	25.8	9.8	6.8	2	0.6	0.496	15.8	0.244
118	2	Dominique Wilkins	30.3	7.9	2.6	1.8	0.6	0.468	10.8	0.17
119	3	Magic Johnson	18.8	5.9	12.6	1.6	0.2	0.526	12.1	0.226
120	4	Hakeem Olajuwon	23.5	11.5	2	2	3.4	0.526	9.5	0.186
121	5	Kareem Abdul-Jabbar	23.4	6.1	3.5	0.8	1.6	0.564	10.8	0.197
122	6	Charles Barkley	20	12.8	3.9	2.2	1.6	0.572	10.8	0.176
123	7	Sidney Moncrief	20.2	4.6	4.9	1.4	0.2	0.489	11.7	0.219
124	8	Alex English	29.8	5	4	0.9	0.4	0.504	9.8	0.156
125	9	Isiah Thomas	20.9	3.6	10.8	2.2	0.3	0.488	8.8	0.151
126	10	Moses Malone	23.8	11.8	1.2	0.9	1	0.458	8.9	0.157
127	11	Terry Cummings	19.8	8.5	2.4	1.5	0.6	0.474	7.4	0.133
128	12	James Worthy	20	5.2	2.7	1.1	1	0.579	9.5	0.185
129	13	Kevin McHale	21.3	8.1	2.7	0.4	2	0.574	11	0.22
130	13	Paul Pressey	14.3	5	7.8	2.1	0.9	0.488	9.8	0.174
131	13	Alvin Robertson	17	6.3	5.5	3.7	0.5	0.514	8.6	0.143
132	16	Adrian Dantley	29.8	5.2	3.5	0.8	0.1	0.563	12.8	0.223
133	16	Buck Williams	15.9	12	1.6	0.9	1.2	0.523	6.8	0.106
134	18	Dennis Johnson	15.6	3.4	5.8	1.4	0.4	0.455	6.7	0.118
135	1	Magic Johnson	23.9	6.3	12.2	1.7	0.5	0.522	15.9	0.263
136	2	Michael Jordan	37.1	5.2	4.6	2.9	1.5	0.482	16.9	0.247
137	3	Larry Bird	28.1	9.2	7.6	1.8	0.9	0.525	15.2	0.243
138	4	Kevin McHale	26.1	9.9	2.6	0.5	2.2	0.604	14.8	0.232
139	5	Dominique Wilkins	29	6.3	3.3	1.5	0.6	0.463	12.2	0.197
140	6	Charles Barkley	23	14.6	4.9	1.8	1.5	0.594	12	0.21
141	7	Hakeem Olajuwon	23.4	11.4	2.9	1.9	3.4	0.508	10.9	0.189
142	8	Isiah Thomas	20.6	3.9	10	1.9	0.2	0.463	7.6	0.121
143	9	Fat Lever	18.9	8.9	8	2.5	0.4	0.469	9.7	0.153
144	10	Moses Malone	24.1	11.3	1.6	0.8	1.3	0.454	9.4	0.182
145	11	Steve Johnson	16.8	7.2	2	0.6	1	0.556	4.4	0.091
146	12	Karl Malone	21.7	10.4	1.9	1.3	0.7	0.512	6.9	0.116
147	12	Robert Parish	17.5	10.6	2.2	0.8	1.8	0.556	9.2	0.147
148	14	Alex English	28.6	4.2	5.1	0.9	0.3	0.503	8.1	0.126
149	15	Mark Aguirre	25.7	5.3	3.2	1.1	0.4	0.495	8.9	0.16
150	15	Rolando Blackman	21	3.5	3.3	0.8	0.3	0.495	8	0.14
151	15	Joe Barry Carroll	21.2	7.3	2.6	1.1	1.5	0.472	4.6	0.082
152	1	Michael Jordan	35	5.5	5.9	3.2	1.6	0.535	21.2	0.308
153	2	Larry Bird	29.9	9.3	6.1	1.6	0.8	0.527	15	0.243
154	3	Magic Johnson	19.6	6.2	11.9	1.6	0.2	0.492	10.9	0.199
155	4	Charles Barkley	28.3	11.9	3.2	1.3	1.3	0.587	16.7	0.253
156	5	Clyde Drexler	27	6.6	5.8	2.5	0.6	0.506	13.2	0.207
157	6	Dominique Wilkins	30.7	6.4	2.9	1.3	0.6	0.464	9.8	0.16
158	7	Hakeem Olajuwon	22.8	12.1	2.1	2.1	2.7	0.514	10.7	0.182
159	8	Karl Malone	27.7	12	2.4	1.4	0.6	0.52	10.1	0.152
160	9	Fat Lever	18.9	8.1	7.8	2.7	0.3	0.473	10.4	0.163
161	10	John Stockton	14.7	2.9	13.8	3	0.2	0.574	14.1	0.238
162	11	Alex English	25	4.7	4.7	0.9	0.3	0.495	7.6	0.129
163	12	Isiah Thomas	19.5	3.4	8.4	1.7	0.2	0.463	7.6	0.124
164	13	Mark Jackson	13.6	4.8	10.6	2.5	0.1	0.432	7.6	0.113
165	14	Michael Adams	13.9	2.7	6.1	2	0.2	0.449	7.5	0.13
166	14	Mark Aguirre	25.1	5.6	3.6	0.9	0.7	0.475	8.8	0.163
167	14	Adrian Dantley	20	3.3	2.5	0.6	0.1	0.514	9.4	0.21
168	14	Buck Williams	18.3	11.9	1.6	1	0.6	0.56	7.6	0.138
169	1	Magic Johnson	22.5	7.9	12.8	1.8	0.3	0.509	16.1	0.267
